gid,주차장,lon,lat,건물1,건물2,건물3,관공서,전기차,충전소,변압기,전기안전관리관,교통량,경제인구,sum,순위
다사75aa57aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.002789832610043397,0.029105622083727606,1474
다사77ba53bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.002789832610043397,0.029105622083727606,1474
다사79ab69ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.002789832610043397,0.029105622083727606,1474
다사74ba58ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.002789832610043397,0.029105622083727606,1474
다사74ba62ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.002789832610043397,0.029105622083727606,1474
다사85ba67bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.002789832610043397,0.029105622083727606,1474
다사73ab57bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.002789832610043397,0.029105622083727606,1474
다사82aa57bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.002789832610043397,0.029105622083727606,1474
다사65ba68aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.002789832610043397,0.029105622083727606,1474
다사69ba62ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.002789832610043397,0.029105622083727606,1474
다사76ba66aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.002789832610043397,0.029105622083727606,1474
다사77ab57aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0024798512089274642,0.028795640682611673,1475
다사73bb68aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0024798512089274642,0.028795640682611673,1475
다사81bb62bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0024798512089274642,0.028795640682611673,1475
다사66ba67aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0024798512089274642,0.028795640682611673,1475
다사72ab62ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0024798512089274642,0.028795640682611673,1475
다사73ab60aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0024798512089274642,0.028795640682611673,1475
다사73ba56aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0021698698078115313,0.02848565928149574,1476
다사81aa74ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0021698698078115313,0.02848565928149574,1476
다사82ab48ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0021698698078115313,0.02848565928149574,1476
다사72ab66ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0021698698078115313,0.02848565928149574,1476
다사80ab60aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0021698698078115313,0.02848565928149574,1476
다사73ba57bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0021698698078115313,0.02848565928149574,1476
다사72bb62ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0021698698078115313,0.02848565928149574,1476
다사72ab59ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0021698698078115313,0.02848565928149574,1476
다사71ba58ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0021698698078115313,0.02848565928149574,1476
다사74ab58bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0021698698078115313,0.02848565928149574,1476
다사82ab70ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0021698698078115313,0.02848565928149574,1476
다사69ab67aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0018598884066955983,0.028175677880379807,1477
다사73aa59aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0018598884066955983,0.028175677880379807,1477
다사86bb64aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0018598884066955983,0.028175677880379807,1477
다사74aa70ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0018598884066955983,0.028175677880379807,1477
다사79aa48ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0018598884066955983,0.028175677880379807,1477
다사82ab66ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0018598884066955983,0.028175677880379807,1477
다사83ba51ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0018598884066955983,0.028175677880379807,1477
다사80aa72aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0018598884066955983,0.028175677880379807,1477
다사80ba57ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0018598884066955983,0.028175677880379807,1477
다사71ab65bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0018598884066955983,0.028175677880379807,1477
다사73aa65ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0018598884066955983,0.028175677880379807,1477
다사71ab66ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0018598884066955983,0.028175677880379807,1477
다사84ba60bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0018598884066955983,0.028175677880379807,1477
다사86bb65ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0018598884066955983,0.028175677880379807,1477
다사75bb56aa,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.027588344699318038,0.027588344699318038,1478
다사70aa59aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사76aa65ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사81bb69bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사69ba66ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사83ba51aa,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사72ab69ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사75ab57bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사87ab63bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사83ab50bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사77bb61ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사76ba57bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사65bb63bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사87ab62bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사81bb47ba,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사65aa66bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사84aa52bb,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사83bb70ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
다사83ab57ab,0,0,0,0.02631578947368421,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.02631578947368421,1479
